,country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,execrel,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target
4113,France,Europe,1,1,0,0,0,0,0,0,6.907755278982137,0.0,2.833213344056216,Parliamentary,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,France,577.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,0.4090999984741211,0.5728000259399414,0.48526862263679504,1.0,0.6497979164123535,0.0,86.0,5.0,0.0,4.0,4.0,7,0
3605,Ireland,Europe,0,0,0,0,1,0,0,0,4.605170185988092,0.0,2.0794415416798357,Parliamentary,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Ireland,166.0,0.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,0.5554999923706054,0.29550001144409177,0.6807228922843933,0.5595583319664001,0.722599446773529,0.4443742036819458,86.0,6.0,0.0,5.0,5.0,7,0
7818,Mauritania,Africa,0,1,0,0,1,0,0,1,6.907755278982137,0.0,0.0,Presidential,7.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Mauritania,147.0,0.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5102040767669678,1.0,0.7222639918327332,0.0,7.0,1.0,0.0,7.0,3.0,2,0
4711,Germany,Europe,1,0,0,0,1,0,0,0,7.600902459542082,0.0,3.091042453358316,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
11301,Iraq,MENA,1,0,0,0,1,0,0,0,4.605170185988092,0.6931471805599453,1.6094379124341003,Parliamentary,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Iraq,328.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.44720497727394104,0.4879436790943146,0.8794483542442322,0.5156371593475342,11.0,6.0,0.0,6.0,2.0,6,0
3104,United Kingdom,Europe,0,0,0,0,1,0,0,0,3.912023005428146,0.0,2.6390573296152584,Parliamentary,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,650.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.5908000183105468,0.4093000030517578,0.5569230914115906,0.7346692681312561,0.6212707757949829,0.26606571674346924,86.0,4.0,0.0,6.0,6.0,7,1
111,Cuba,North America,0,0,0,0,1,0,1,0,4.30406509320417,0.0,2.8903717578961645,Assembly-Elected President,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Cuba,621.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,10.0,3,0
10554,Madagascar,Africa,0,1,0,0,0,0,0,0,3.912023005428146,0.0,0.0,Presidential,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,Madagascar,151.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3402777910232544,1.0,0.8577699661254883,0.0,2.0,4.0,0.0,3.0,3.0,6,0
8609,Nigeria,Africa,0,1,0,0,0,0,0,0,3.912023005428146,0.0,3.4339872044851463,Presidential,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,Nigeria,360.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5760869383811951,1.0,0.5244935750961304,0.0,17.0,4.0,0.5,1.0,1.0,6,0
7502,Sweden,Europe,0,0,0,0,1,0,0,0,5.703782474656201,0.0,0.0,Parliamentary,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Sweden,349.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.37900001525878907,0.5800999832153321,0.3954154849052429,0.7033186554908752,0.8021330833435059,0.29884693026542664,86.0,4.0,0.0,2.0,2.0,7,0
